point_id,lat,long,idp_issueddate_iso,idp_validtime_iso,value,name,requested_on
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T18:00:00-08:00,4,ds_apm25h01_bc_B38,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T19:00:00-08:00,13,ds_apm25h01_bc_B39,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T19:00:00-08:00,18,ds_apm25h01_bc_B39,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T19:00:00-08:00,11,ds_apm25h01_bc_B39,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T20:00:00-08:00,16,ds_apm25h01_bc_B40,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T20:00:00-08:00,19,ds_apm25h01_bc_B40,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T20:00:00-08:00,27,ds_apm25h01_bc_B40,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T21:00:00-08:00,21,ds_apm25h01_bc_B41,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T21:00:00-08:00,17,ds_apm25h01_bc_B41,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T21:00:00-08:00,48,ds_apm25h01_bc_B41,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T22:00:00-08:00,14,ds_apm25h01_bc_B42,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T22:00:00-08:00,18,ds_apm25h01_bc_B42,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T22:00:00-08:00,52,ds_apm25h01_bc_B42,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T23:00:00-08:00,12,ds_apm25h01_bc_B43,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T23:00:00-08:00,18,ds_apm25h01_bc_B43,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T23:00:00-08:00,91,ds_apm25h01_bc_B43,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-13T00:00:00-08:00,5,ds_apm25h01_bc_B44,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-13T00:00:00-08:00,21,ds_apm25h01_bc_B44,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-13T00:00:00-08:00,115,ds_apm25h01_bc_B44,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-13T01:00:00-08:00,5,ds_apm25h01_bc_B45,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-13T01:00:00-08:00,22,ds_apm25h01_bc_B45,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-13T01:00:00-08:00,111,ds_apm25h01_bc_B45,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-13T02:00:00-08:00,9,ds_apm25h01_bc_B46,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-13T02:00:00-08:00,22,ds_apm25h01_bc_B46,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-13T02:00:00-08:00,64,ds_apm25h01_bc_B46,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-13T03:00:00-08:00,9,ds_apm25h01_bc_B47,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-13T03:00:00-08:00,23,ds_apm25h01_bc_B47,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-13T03:00:00-08:00,72,ds_apm25h01_bc_B47,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-13T04:00:00-08:00,9,ds_apm25h01_bc_B48,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-13T04:00:00-08:00,22,ds_apm25h01_bc_B48,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-13T04:00:00-08:00,55,ds_apm25h01_bc_B48,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-13T05:00:00-08:00,8,ds_apm25h01_bc_B49,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-13T05:00:00-08:00,23,ds_apm25h01_bc_B49,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-13T05:00:00-08:00,45,ds_apm25h01_bc_B49,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-13T06:00:00-08:00,5,ds_apm25h01_bc_B50,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-13T06:00:00-08:00,25,ds_apm25h01_bc_B50,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-13T06:00:00-08:00,39,ds_apm25h01_bc_B50,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-13T07:00:00-08:00,2,ds_apm25h01_bc_B51,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-13T07:00:00-08:00,26,ds_apm25h01_bc_B51,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-13T07:00:00-08:00,66,ds_apm25h01_bc_B51,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-13T08:00:00-08:00,1,ds_apm25h01_bc_B52,2023-11-11T20:05:41.685120-08:00
